Feature,Importance,StdDev
MobileNetV2_57,-0.0011217948717948678,0.0014423076923076872
MobileNetV2_4,-0.0011217948717948678,0.001026141704716799
MobileNetV2_13,-0.0011217948717948678,0.0007343871306018948
MobileNetV2_2,-0.0011217948717948678,0.001026141704716799
VGG16_25,-0.0012820512820512775,0.0006410256410256387
VGG16_19,-0.0012820512820512775,0.0009615384615384581
MobileNetV2_7,-0.0012820512820512775,0.0017260143612610526
VGG16_55,-0.0012820512820512775,0.0006410256410256387
VGG16_13,-0.0014423076923076872,0.00048076923076922906
MobileNetV2_18,-0.0014423076923076872,0.0025288034996890133
MobileNetV2_5,-0.0014423076923076872,0.0011217948717948678
VGG16_8,-0.0014423076923076872,0.00048076923076922906
VGG16_37,-0.0017628205128205066,0.0013311897216214817
VGG16_1,-0.0017628205128205066,0.0013311897216214817
MobileNetV2_25,-0.0017628205128205066,0.0013311897216214817
MobileNetV2_14,-0.0017628205128205066,0.0015118559506500915
MobileNetV2_0,-0.0019230769230769162,0.0009615384615384583
MobileNetV2_48,-0.0019230769230769162,0.0018688948380914362
VGG16_60,-0.0019230769230769162,0.0013970829947245699
MobileNetV2_10,-0.002083333333333326,0.0012516425762670877
MobileNetV2_12,-0.002564102564102555,0.0010630207661395474
MobileNetV2_40,-0.002564102564102555,0.0014687742612037897
MobileNetV2_30,-0.0027243589743589647,0.002033425887892544
MobileNetV2_60,-0.003044871794871784,0.002425119543336779
